iter	Passed	Remaining
0	5	5160
1	12	6177
2	19	6390
3	25	6361
4	31	6348
5	37	6281
6	44	6245
7	50	6247
8	56	6206
9	62	6194
10	68	6166
11	74	6152
12	81	6201
13	87	6177
14	94	6175
15	100	6159
16	106	6143
17	112	6151
18	119	6149
19	125	6168
20	132	6159
21	138	6138
22	145	6171
23	151	6152
24	157	6149
25	163	6141
26	170	6139
27	176	6124
28	182	6117
29	190	6143
30	196	6129
31	202	6131
32	210	6159
33	217	6173
34	253	6982
35	261	7006
36	268	7001
37	274	6959
38	281	6929
39	288	6920
40	294	6885
41	300	6856
42	306	6827
43	313	6804
44	319	6783
45	325	6754
46	332	6750
47	339	6729
48	345	6702
49	351	6686
50	357	6659
51	364	6639
52	370	6618
53	376	6598
54	382	6579
55	388	6555
56	395	6543
57	401	6523
58	407	6505
59	415	6515
60	422	6497
61	436	6598
62	443	6600
63	450	6590
64	457	6575
65	464	6566
66	470	6549
67	476	6534
68	483	6523
69	490	6511
70	497	6512
71	504	6503
72	510	6485
73	517	6475
74	523	6462
75	530	6446
76	537	6447
77	544	6431
78	550	6420
79	557	6409
80	564	6401
81	569	6372
82	575	6359
83	594	6484
84	600	6464
85	607	6458
86	615	6459
87	621	6436
88	627	6425
89	632	6397
90	637	6369
91	643	6349
92	648	6324
93	653	6295
94	658	6273
95	663	6246
96	668	6223
97	674	6206
98	679	6182
99	684	6159
100	689	6138
101	694	6113
102	699	6088
103	704	6070
104	709	6048
105	714	6023
106	718	5999
107	723	5976
108	728	5954
109	733	5931
110	737	5910
111	742	5890
112	747	5869
113	754	5862
114	759	5842
115	765	5835
116	772	5831
117	778	5816
118	784	5808
119	789	5788
120	794	5769
121	799	5751
122	805	5741
123	810	5723
124	815	5705
125	822	5707
126	828	5695
127	834	5685
128	841	5682
129	846	5668
130	852	5652
131	859	5653
132	865	5644
133	870	5628
134	875	5612
135	881	5597
136	886	5583
137	891	5568
138	897	5561
139	903	5552
140	910	5547
141	916	5540
142	923	5532
143	929	5526
144	936	5522
145	942	5513
146	950	5513
147	956	5504
148	961	5490
149	967	5482
150	972	5467
151	977	5454
152	983	5442
153	988	5427
154	993	5415
155	997	5399
156	1002	5385
157	1009	5381
158	1014	5366
159	1021	5360
160	1027	5352
161	1033	5345
162	1038	5334
163	1043	5320
164	1049	5310
165	1055	5300
166	1059	5287
167	1064	5273
168	1070	5262
169	1075	5250
170	1080	5238
171	1085	5226
172	1091	5215
173	1095	5202
174	1101	5190
175	1106	5178
176	1111	5166
177	1116	5155
178	1122	5146
179	1127	5134
180	1132	5122
181	1137	5111
182	1142	5099
183	1147	5086
184	1166	5138
185	1171	5126
186	1176	5115
187	1181	5104
188	1186	5092
189	1191	5080
190	1197	5070
191	1202	5060
192	1207	5048
193	1212	5038
194	1217	5026
195	1222	5013
196	1230	5014
197	1236	5008
198	1242	5001
199	1248	4994
200	1253	4984
201	1259	4973
202	1265	4967
203	1270	4957
204	1275	4947
205	1313	5062
206	1322	5066
207	1329	5062
208	1351	5115
209	1357	5105
210	1362	5093
211	1367	5084
212	1373	5073
213	1378	5064
214	1384	5053
215	1389	5043
216	1394	5032
217	1399	5021
218	1406	5016
219	1412	5006
220	1417	4995
221	1424	4991
222	1431	4987
223	1439	4988
224	1445	4978
225	1450	4968
226	1457	4964
227	1463	4953
228	1468	4943
229	1474	4935
230	1479	4925
231	1484	4915
232	1490	4907
233	1495	4897
234	1501	4887
235	1506	4877
236	1511	4867
237	1517	4857
238	1523	4850
239	1528	4839
240	1534	4832
241	1541	4827
242	1546	4816
243	1552	4808
244	1557	4798
245	1562	4789
246	1568	4782
247	1574	4773
248	1579	4765
249	1586	4758
250	1591	4748
251	1596	4740
252	1602	4731
253	1607	4720
254	1612	4710
255	1617	4701
256	1622	4691
257	1629	4687
258	1635	4679
259	1641	4671
260	1646	4661
261	1679	4730
262	1689	4735
263	1697	4731
264	1703	4723
265	1708	4713
266	1714	4706
267	1719	4695
268	1724	4685
269	1729	4676
270	1734	4665
271	1739	4654
272	1746	4650
273	1751	4639
274	1756	4630
275	1761	4620
276	1766	4610
277	1771	4600
278	1777	4593
279	1782	4583
280	1787	4572
281	1792	4563
282	1797	4553
283	1802	4544
284	1808	4537
285	1814	4529
286	1819	4519
287	1824	4510
288	1829	4500
289	1834	4491
290	1841	4485
291	1846	4477
292	1852	4470
293	1860	4467
294	1865	4458
295	1871	4451
296	1876	4442
297	1881	4433
298	1887	4425
299	1892	4416
300	1899	4410
301	1905	4403
302	1910	4394
303	1915	4385
304	1920	4376
305	1925	4367
306	1931	4360
307	1937	4352
308	1942	4342
